日期,時段,進站車站,出站車站,進站人數,出站人數
2026-06-10,0,台北車站,台北車站,3,4
2026-06-10,1,台北車站,台北車站,2,4
2026-06-10,2,台北車站,台北車站,4,1
2026-06-10,3,台北車站,台北車站,2,2
2026-06-10,4,台北車站,台北車站,2,4
2026-06-10,5,台北車站,台北車站,3,2
2026-06-10,6,台北車站,台北車站,969,543
2026-06-10,7,台北車站,台北車站,5515,8485
2026-06-10,8,台北車站,台北車站,6853,7433
2026-06-10,9,台北車站,台北車站,5215,5955
2026-06-10,10,台北車站,台北車站,476,1384
2026-06-10,11,台北車站,台北車站,659,221
2026-06-10,12,台北車站,台北車站,452,947
2026-06-10,13,台北車站,台北車站,1056,674
2026-06-10,14,台北車站,台北車站,1282,710
2026-06-10,15,台北車站,台北車站,899,1175
2026-06-10,16,台北車站,台北車站,389,1157
2026-06-10,17,台北車站,台北車站,8734,7005
2026-06-10,18,台北車站,台北車站,6562,5899
2026-06-10,19,台北車站,台北車站,9638,5267
2026-06-10,20,台北車站,台北車站,1031,1354
2026-06-10,21,台北車站,台北車站,846,220
2026-06-10,22,台北車站,台北車站,1040,366
2026-06-10,23,台北車站,台北車站,1497,587
2026-06-10,0,市政府,市政府,0,3
2026-06-10,1,市政府,市政府,1,1
2026-06-10,2,市政府,市政府,0,1
2026-06-10,3,市政府,市政府,4,1
2026-06-10,4,市政府,市政府,3,3
2026-06-10,5,市政府,市政府,3,3
2026-06-10,6,市政府,市政府,708,975
2026-06-10,7,市政府,市政府,3966,5034
2026-06-10,8,市政府,市政府,2205,8152
2026-06-10,9,市政府,市政府,3955,6585
2026-06-10,10,市政府,市政府,1225,1221
2026-06-10,11,市政府,市政府,765,1329
2026-06-10,12,市政府,市政府,902,601
2026-06-10,13,市政府,市政府,929,361
2026-06-10,14,市政府,市政府,401,1195
2026-06-10,15,市政府,市政府,469,1015
2026-06-10,16,市政府,市政府,1494,655
2026-06-10,17,市政府,市政府,9533,7798
2026-06-10,18,市政府,市政府,7275,5016
2026-06-10,19,市政府,市政府,9773,6343
2026-06-10,20,市政府,市政府,919,537
2026-06-10,21,市政府,市政府,1078,1276
2026-06-10,22,市政府,市政府,991,416
2026-06-10,23,市政府,市政府,963,387
2026-06-10,0,西門,西門,3,4
2026-06-10,1,西門,西門,0,4
2026-06-10,2,西門,西門,4,0
2026-06-10,3,西門,西門,0,0
2026-06-10,4,西門,西門,0,3
2026-06-10,5,西門,西門,2,2
2026-06-10,6,西門,西門,792,591
2026-06-10,7,西門,西門,5698,1918
2026-06-10,8,西門,西門,6336,1878
2026-06-10,9,西門,西門,5796,1730
2026-06-10,10,西門,西門,1217,240
2026-06-10,11,西門,西門,1251,334
2026-06-10,12,西門,西門,400,979
2026-06-10,13,西門,西門,1129,1256
2026-06-10,14,西門,西門,1271,702
2026-06-10,15,西門,西門,606,1004
2026-06-10,16,西門,西門,298,883
2026-06-10,17,西門,西門,3895,6773
2026-06-10,18,西門,西門,3570,4960
2026-06-10,19,西門,西門,3485,6690
2026-06-10,20,西門,西門,1228,1441
2026-06-10,21,西門,西門,702,966
2026-06-10,22,西門,西門,597,1070
2026-06-10,23,西門,西門,994,592
2026-06-10,0,忠孝復興,忠孝復興,1,1
2026-06-10,1,忠孝復興,忠孝復興,3,4
2026-06-10,2,忠孝復興,忠孝復興,2,0
2026-06-10,3,忠孝復興,忠孝復興,3,4
2026-06-10,4,忠孝復興,忠孝復興,3,4
2026-06-10,5,忠孝復興,忠孝復興,4,2
2026-06-10,6,忠孝復興,忠孝復興,740,1259
2026-06-10,7,忠孝復興,忠孝復興,6572,6183
2026-06-10,8,忠孝復興,忠孝復興,7910,6722
2026-06-10,9,忠孝復興,忠孝復興,7314,8157
2026-06-10,10,忠孝復興,忠孝復興,777,881
2026-06-10,11,忠孝復興,忠孝復興,756,1212
2026-06-10,12,忠孝復興,忠孝復興,845,995
2026-06-10,13,忠孝復興,忠孝復興,1251,1454
2026-06-10,14,忠孝復興,忠孝復興,389,1448
2026-06-10,15,忠孝復興,忠孝復興,832,827
2026-06-10,16,忠孝復興,忠孝復興,1172,1482
2026-06-10,17,忠孝復興,忠孝復興,2709,5479
2026-06-10,18,忠孝復興,忠孝復興,3434,4648
2026-06-10,19,忠孝復興,忠孝復興,2317,7748
2026-06-10,20,忠孝復興,忠孝復興,1448,1457
2026-06-10,21,忠孝復興,忠孝復興,883,863
2026-06-10,22,忠孝復興,忠孝復興,1456,1336
2026-06-10,23,忠孝復興,忠孝復興,641,763
2026-06-10,0,板橋,板橋,3,1
2026-06-10,1,板橋,板橋,2,0
2026-06-10,2,板橋,板橋,4,0
2026-06-10,3,板橋,板橋,0,2
2026-06-10,4,板橋,板橋,0,1
2026-06-10,5,板橋,板橋,1,3
2026-06-10,6,板橋,板橋,1054,1448
2026-06-10,7,板橋,板橋,6432,2926
2026-06-10,8,板橋,板橋,5661,2653
2026-06-10,9,板橋,板橋,5076,2229
